Chaghcharan,34,31,N,65,15,E,15000
Lashkar Gah,31,34,N,64,21,E,201546
Zaranj,31,6,N,61,53,E,49851
Tarin Kowt,32,37,N,65,52,E,10000
Zareh Sharan,32,51,N,68,25,E,13737
Asadabad,34,51,N,71,9,E,48400
Taloqan,36,43,N,69,32,E,64256
Mahmud-E Eraqi,35,1,N,69,19,E,7407
Mehtar Lam,34,39,N,70,10,E,17345
Baraki Barak,33,58,N,68,58,E,22305
Aybak,36,15,N,68,2,E,24000
Mayda Shahr,34,27,N,68,47,E,35008
Karokh,34,29,N,62,35,E,14388.5
Sheberghan,36,39,N,65,44,E,74441
Pol-e Khomri,35,57,N,68,42,E,41029
Balkh,36,45,N,66,53,E,147426
Meymaneh,35,55,N,64,46,E,199795
Andkhvoy,36,55,N,65,6,E,50469
Qalat,32,6,N,66,53,E,12191
Ghazni,33,33,N,68,25,E,129892.5
Feyzabad,37,7,N,70,34,E,52490
Kondoz,36,43,N,68,52,E,210855.5
Jalalabad,34,26,N,70,26,E,401697
Charikar,35,1,N,69,10,E,53676
Gardiz,33,36,N,69,12,E,82680.5
Bamian,34,49,N,67,31,E,61863
Baghlan,36,8,N,68,41,E,163598.5
Farah,32,23,N,62,5,E,58604
Herat,34,19,N,62,10,E,439232.5
Mazar-e Sharif,36,41,N,67,6,E,365432.5
Kandahar,31,36,N,65,41,E,613871
Kabul,34,31,N,69,10,E,3160266
Mariehamn,60,5,N,19,56,E,10682
Kruje,41,31,N,19,47,E,21286
Fier,40,43,N,19,34,E,69747.5
Lushnje,40,56,N,19,42,E,41469
Puke,42,1,N,19,52,E,6495
Bajram Curri,42,19,N,20,4,E,7967
Kukes,42,4,N,20,26,E,17832
Sarande,39,52,N,19,59,E,15147
Erseke,40,19,N,20,40,E,7890
Pogradec,40,53,N,20,39,E,35000
Korce,40,37,N,20,45,E,58259
Berat,40,42,N,19,58,E,46866
Corovode,40,31,N,20,13,E,14046
Gramsh,40,52,N,20,11,E,11556
Librazhd,41,12,N,20,22,E,12691
Tepelene,40,16,N,20,1,E,11955
Permet,40,14,N,20,21,E,10686
Gjirokaster,40,4,N,20,8,E,23437
Peshkopi,41,40,N,20,25,E,14848
Burrel,41,37,N,20,0,E,15405
Lezhe,41,47,N,19,39,E,18695
Rreshen,41,46,N,19,49,E,10064
Vlore,40,28,N,19,29,E,89508.5
Elbasan,41,7,N,20,5,E,132956.5
Durres,41,19,N,19,26,E,132233
Shkoder,42,4,N,19,31,E,122006
Tirana,41,19,N,19,49,E,658318
Jijel,36,49,N,5,45,E,148000
Tizi-Ouzou,36,48,N,4,1,E,144000
Bordj Bou Arreridj,36,3,N,4,37,E,134500
M'sila,35,42,N,4,32,E,125000
Guelma,36,27,N,7,25,E,123590
Oum el Bouaghi,35,50,N,7,8,E,100821
Timimoun,29,14,N,0,16,E,26568
Sidi bel Abbes,35,11,N,0,38,W,200186.5
Tlimcen,34,53,N,1,19,W,181059
Beni Ounif,32,2,N,1,15,W,5628
Abadla,31,1,N,2,43,W,14364
Sefra,32,45,N,0,34,W,51118
Skikda,36,52,N,6,53,E,193941.5
Djanet,24,33,N,9,28,E,666
I-n-Amenas,28,3,N,9,33,E,216
In Amguel,23,41,N,5,9,E,3030
El Bayadh,33,41,N,1,0,E,67413
El Oued,33,22,N,6,51,E,177497
Hassi Messaoud,31,42,N,6,3,E,18124
Chlef,36,10,N,1,19,E,449167
Mascara,35,24,N,0,8,E,108230
Mostaganem,35,56,N,0,5,E,159177
Saida,34,50,N,0,8,E,134855
Tiarat,35,22,N,1,19,E,184195
Bejaia,36,45,N,5,4,E,274520
Blida,36,25,N,2,49,E,388174
Bouira,36,22,N,3,54,E,110144
Medea,36,16,N,2,46,E,145863.5
Souk Ahras,36,17,N,7,56,E,134947
Tebessa,35,24,N,8,7,E,171742
Adrar,27,52,N,0,17,W,56910
Reggane,26,41,N,0,9,E,22351.5
Bechar,31,36,N,2,13,W,142415.5
Tindouf,27,40,N,8,8,W,18270
Illizi,26,29,N,8,27,E,7293
Arak,25,16,N,3,44,E,423251
I-n-Salah,27,12,N,2,27,E,28632
El Golea,30,33,N,2,52,E,32049
Laghouat,33,48,N,2,52,E,108279
Touggourt,33,5,N,6,3,E,91499
Ouargla,31,58,N,5,20,E,176271
Biskra,34,51,N,5,43,E,202103
Djelfa,34,40,N,3,15,E,170901
Setif,36,10,N,5,23,E,274744
Batna,35,34,N,6,10,E,269467
Annaba,36,55,N,7,45,E,355047
Constantine,36,21,N,6,35,E,527638
Oran,35,42,N,0,37,W,721992
Tamanrasset,22,47,N,5,31,E,71808
Ghardaia,32,29,N,3,40,E,125480
Algiers,36,45,N,3,3,E,2665831.5
Pago Pago,14,16,S,170,42,W,12038
Andorra,42,30,N,1,30,E,38127
Mucusso,18,1,S,21,25,E,100
Lucapa,8,25,S,20,44,E,25578
Capenda-Camulemba,9,25,S,18,25,E,79842.5
Saurimo,9,39,S,20,23,E,40907
Muconda,10,35,S,21,19,E,2324
Cacolo,10,8,S,19,15,E,984
Caxito,8,34,S,13,39,E,15665.5
Camabatela,8,11,S,15,22,E,12731
Ndalatando,9,17,S,14,54,E,8144
Quibala,10,43,S,14,58,E,5248.5
Calulo,9,59,S,14,54,E,795
Waku Kungo,11,21,S,15,7,E,11519.5
Songo,7,20,S,14,50,E,10579
Mbanza-Congo,6,16,S,14,14,E,42201
Nzeto,7,13,S,12,51,E,19705.5
Soyo,6,7,S,12,22,E,65329
Cabinda,5,33,S,12,11,E,78905.5
Calucinga,11,19,S,16,11,E,531
Camacupa,12,1,S,17,28,E,19489
Cubal,13,2,S,14,14,E,4837
Mavinga,15,47,S,20,21,E,30000
Cuito Caunavale,15,9,S,19,10,E,149
Luiana,17,22,S,22,59,E,150
Ondjiva,17,4,S,15,43,E,8748
Chitado,17,19,S,13,55,E,468.5
Chibemba,15,44,S,14,4,E,1502
Chibia,15,11,S,13,41,E,1411
Quipungo,14,49,S,14,33,E,186
Luau,10,42,S,22,13,E,9964
Cangamba,13,41,S,19,51,E,1307
Lumbala Nguimbo,14,5,S,21,26,E,25
Cazombo,11,53,S,22,54,E,298
Dundo,7,22,S,20,49,E,11985
Ambriz,7,51,S,13,7,E,17000
Dondo,9,41,S,14,25,E,2353
Sumbe,11,12,S,13,50,E,29638.5
Uige,7,37,S,15,2,E,56787.5
Kuito,12,22,S,16,56,E,113955
Lobito,12,22,S,13,32,E,170733
Xangongo,16,44,S,14,58,E,447
Luena,11,47,S,19,54,E,17276.5
Tômbua,15,48,S,11,51,E,40000
Malanje,9,32,S,16,20,E,106451
Benguela,12,34,S,13,24,E,142017
Lubango,14,54,S,13,29,E,114086.5
Namibe,15,11,S,12,9,E,128130.5
Menongue,14,39,S,17,41,E,13030
Huambo,12,44,S,15,45,E,986000
Luanda,8,50,S,13,14,E,3562086
Artigas Base,62,10,S,58,51,W,34.5
Capitan Arturo Prat Station,62,29,S,59,40,W,41
Marambio Station,64,13,S,56,39,W,102.5
Zucchelli Station,74,37,S,164,13,E,60
Rothera Station,67,33,S,68,7,W,76
Palmer Station,64,45,S,64,2,W,30.5
Base Presidente Montalva,62,10,S,58,54,W,115
Carlini Station,62,13,S,58,39,W,40
King Sejong Station,62,13,S,58,46,W,53.5
Great Wall Station,62,12,S,58,58,W,26
Escudero Base,62,11,S,58,57,W,20
Elephant Island,61,59,S,57,59,W,3
Scott Base,77,50,S,166,44,E,49.5
McMurdo Station,77,43,S,166,52,E,600
Zhongshan Station,69,26,S,76,20,E,42.5
Vostok,78,27,S,106,48,E,19
Peter I Island,68,49,S,90,29,E,0.5
Mirny Station,66,34,S,93,0,E,114.5
Mawson Station,67,36,S,62,52,E,40
Davis Station,68,46,S,78,8,E,45
Concordia Research Station,74,39,S,124,10,E,15
Casey Station,66,17,S,110,32,E,125
Amundsen–Scott South Pole Station,89,58,S,139,16,E,125
Wasa Station,73,2,S,13,25,W,5
Troll Station,72,0,S,2,31,E,25.5
Svea Station,74,34,S,11,13,W,5
Novolazarevskaya Station,71,18,S,11,51,W,35
Neumayer Station III,70,53,S,7,50,W,40
Maitri Station,70,46,S,11,43,E,33
Halley Station,76,5,S,26,28,W,43
Belgrano Station,77,51,S,34,37,W,57
Camp Sobral,81,10,S,40,30,W,20
Aboa Station,75,2,S,13,25,W,15
San Martín Station,68,6,S,67,5,W,19
Gen. O'Higgins Station,63,19,S,57,53,W,30
Esperanza Station,63,22,S,57,1,W,152.5
Orcadas Station,60,43,S,44,43,W,29.5
Signy Research Station,60,37,S,45,36,W,4
Dumont d'Urville Station,66,46,S,139,57,E,75
Showa Station,69,1,S,39,44,E,50
Saint John's,17,7,N,61,51,W,29862.5
28 de Noviembre,51,39,S,72,18,W,5300
Gobernador Gregores,48,45,S,70,15,W,2519
Comondante Luis Piedrabuena,49,58,S,68,54,W,410
Paso Rio Mayo,45,41,S,70,15,W,1825
Alto Rio Sanguer,45,1,S,70,49,W,1548
El Maiten,42,3,S,71,9,W,4269
Puerto Madryn,42,46,S,65,2,W,61159
